Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
Green Mansions,Q605921,942,Green Mansions: A Romance of the Tropical Forest,
Lady Susan,Q581180,946,Lady Susan,
The Patchwork Girl of Oz,Q615227,955,The Patchwork Girl of Oz,
Tik-Tok of Oz,Q7801858,956,Tik-Tok of Oz,
The Scarecrow of Oz,Q7762405,957,The Scarecrow of Oz,
Rinkitink in Oz,Q7335058,958,Rinkitink in Oz\•Wherein Is Recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles That Lie Beyond the Borderland of Oz,
The Lost Princess of Oz,Q7748719,959,The Lost Princess of Oz,
The Tin Woodman of Oz,Q7769442,960,"The Tin Woodman of Oz\•A Faithful Story of the Astonishing Adventure Undertaken by the Tin Woodman, Assisted by Woot the Wanderer, the Scarecrow of Oz, and Polychrome, the Rainbow's Daughter",
Glinda of Oz,Q5569658,961,"Glinda of Oz\•In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good",
Little Dorrit,Q565638,963,Little Dorrit,
The Black Tulip,Q1141764,965,The Black Tulip,
Nicholas Nickleby,Q847642,967,Nicholas Nickleby,
Martin Chuzzlewit,Q1903609,968,Martin Chuzzlewit,
The Tenant of Wildfell Hall,Q44701,969,The Tenant of Wildfell Hall,
The Devil's Dictionary,Q1147121,972,The Devil's Dictionary,
The Secret Agent,Q1247666,974,The Secret Agent: A Simple Tale,
Alice Adams (novel),Q4725707,980,Alice Adams,
The First Men in the Moon,Q1218232,1013,The First Men in the Moon,
"The Water-Babies, A Fairy Tale for a Land Baby",Q14914646,1018,?,
"Poems by Currer, Ellis, and Acton Bell",Q772985,1019,"Poems by Currer, Ellis, and Acton Bell",
Bleak House,Q883305,1023,Bleak House,
The Wrecker (Stevenson novel),Q2753955,1024,The Wrecker,
The Professor (novel),Q762203,1028,The Professor,
Captain Stormfield's Visit to Heaven,Q1152137,1044,Extract from Captain Stormfield's Visit to Heaven,
Venus and Adonis (Shakespeare poem),Q1066765,1045,Venus and Adonis,
God the Invisible King,Q5576069,1046,"God, the Invisible King",
The New Machiavelli,Q10381652,1047,The New Machiavelli,
Sartor Resartus,Q1134140,1051,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,
Martin Eden,Q1317839,1056,Martin Eden,
The World Set Free,Q5051290,1059,The World Set Free,
The Sea-Wolf,Q1196857,1074,The Sea-Wolf,
The Wallet of Kai Lung,Q7773338,1076,The Wallet of Kai Lung,
"The Life and Opinions of Tristram Shandy, Gentleman",Q1164083,1079,"The Life and Opinions of Tristram Shandy, Gentleman",
Dead Souls,Q647379,1081,Dead Souls,
The Arrow of Gold,Q860023,1083,The Arrow of Gold: A Story Between Two Notes,
A Horse's Tale,Q4657396,1086,A Horse's Tale,
Mrs. Warren's Profession,Q955587,1097,Mrs. Warren's Profession,
A Lover's Complaint,Q1195233,1137,A Lover's Complaint,
The Research Magnificent,Q7760264,1138,The Research Magnificent,
Typhoon (novella),Q1329329,1142,Typhoon,
Rupert of Hentzau,Q7380383,1145,Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim\•Sequel to The Prisoner of Zenda,
The Chessmen of Mars,Q2043958,1153,The Chessmen of Mars,
The Voyages of Doctor Dolittle,Q7773132,1154,The Voyages of Doctor Dolittle,
The Secret Adversary,Q617379,1155,The Secret Adversary,
Babbitt (novel),Q1107000,1156,Babbitt,
Penrod and Sam,Q7164626,1158,Penrod and Sam,
The Star Rover,Q626663,1162,The Jacket (The Star-Rover),
The Iron Heel,Q2465752,1164,The Iron Heel,
Laws (dialogue),Q752285,1178,The Polity of the Athenians and the Lacedaemonians,
Taras Bulba,Q1250822,1197,"Taras Bulba, and Other Tales",
Robbery Under Arms,Q7340827,1198,Robbery under Arms\•A Story of Life and Adventure in the Bush and in the Australian Goldfields,
Gargantua and Pantagruel,Q822290,1200,Gargantua and Pantagruel,
Tales of Unrest,Q3151490,1202,Tales of Unrest,
Nada the Lily,Q6957414,1207,Nada the Lily,
Love and Freindship,Q2104534,1212,Love and Freindship [sic],
The History of England (Austen),Q1212930,1212,Love and Freindship [sic],
The Man That Corrupted Hadleyburg,Q3819971,1213,The Man That Corrupted Hadleyburg,
The Prince,Q131719,1232,The Prince,
